Krippendorff,Cohen,Percent_Agreement,Krippendorff_Quality,Krippendorff_CI_lower,Krippendorff_CI_upper,Task,Cohen_Quality,Cohen_CI_lower,Cohen_CI_upper
0.9002349306471856,,97.87234042553192,Substantial Agreement,0.7549855219076744,1.0,Age of Participants,,,
0.9122807017543859,0.9114391143911439,93.75,Substantial Agreement,0.8490393412625801,1.0,Application Form,Almost Perfect Agreement,0.8144053158103413,1.0084729129719465
0.2614861032331254,0.2871072589382448,70.2127659574468,Poor Agreement -> WORK REQUIRED,0.02752293577981657,0.47702060221870046,Clinical Trial Phase,Minimal Agreement -> WORK REQUIRED,-0.025806231548807457,0.600020749425297
0.8105751348566615,,80.43478260869566,Substantial Agreement,0.7288828060597882,0.8985408824067386,Condition,,,
0.5798319327731092,0.5822454308093996,79.16666666666666,Poor Agreement -> WORK REQUIRED,0.40280522722456813,0.7617765814266487,Data Collection,Weak Agreement -> WORK REQUIRED,0.35186347563709053,0.8126273859817087
0.6973558458107678,0.6973518284993694,79.16666666666666,Moderate Agreement,0.5847098095584302,0.822123141641819,Data Type,Moderate Agreement,0.5304483817824821,0.8642552752162567
0.8784233427181981,0.8773006134969327,89.58333333333334,Substantial Agreement,0.805782466969125,0.9596062144583151,Number of Participants,Strong Agreement,0.7755054675074333,0.979095759486432
0.5223790781139013,,54.761904761904766,Poor Agreement -> WORK REQUIRED,0.3990157743249952,0.6506764124493962,Outcomes,,,
0.523377794947774,,68.18181818181817,Poor Agreement -> WORK REQUIRED,0.3677076966855443,0.7012799455129087,Regimen,,,
0.8015043877977435,0.8009950248756219,89.58333333333334,Substantial Agreement,0.6719011525313175,0.9344903331624265,Setting,Strong Agreement,0.6358944398379265,0.9660956099133173
0.8090452261306533,0.8074222668004014,91.66666666666666,Substantial Agreement,0.665324178847594,0.9292968882554549,Sex of Participants,Strong Agreement,0.6267307075271491,0.9881138260736537
0.5537287140340577,0.5492957746478874,83.33333333333334,Poor Agreement -> WORK REQUIRED,0.31528046421663436,0.7567099854932301,Study Conclusion,Weak Agreement -> WORK REQUIRED,0.26418601470172637,0.8344055345940484
0.6458273587611127,0.6442417331812998,72.91666666666666,Poor Agreement -> WORK REQUIRED,0.5223096995045865,0.7809176845197134,Study Control,Moderate Agreement,0.4791015358004749,0.8093819305621248
0.6199581707797135,,60.0,Poor Agreement -> WORK REQUIRED,0.510212017830557,0.7311662655258199,Study Purpose,,,
0.7856135401974612,0.7846326416152553,83.33333333333334,Moderate Agreement,0.6799534261764406,0.8803159340942707,Study Type,Moderate Agreement,0.6483939901995911,0.9208712930309194
0.6764060090713173,,83.33333333333334,Moderate Agreement,0.5018577840431245,0.829492182838303,Substance Naivety,,,
0.8811942841846001,,85.41666666666666,Substantial Agreement,0.8169474666052546,0.9443816967592233,Substances,,,
